City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Babanka,48.71,30.45,60.33,77,21,11.25,UA,1596259487
Lochgilphead,56.04,-5.43,57.0,86,91,4.63,GB,1596259488
Pacocha,-17.58,-71.33,56.86,80,57,3.02,PE,1596259488
Sioux Lookout,50.1,-91.92,69.8,73,90,6.93,CA,1596259488
Kununurra,-15.77,128.73,87.8,20,0,8.05,AU,1596259489
Beitbridge,-22.22,30.0,52.9,74,0,2.37,ZW,1596259489
Huanren,41.26,125.37,72.61,92,100,3.56,CN,1596259489
Festus,38.22,-90.4,68.0,98,100,9.28,US,1596259490
Kota Tinggi,1.74,103.9,90.0,70,40,5.82,MY,1596259490
Narsaq,60.92,-46.05,42.8,81,9,3.36,GL,1596259490
Nārsingi,18.03,78.43,86.0,79,40,4.7,IN,1596259490
Oranjemund,-28.55,16.43,68.45,24,0,15.7,NA,1596259491
Tyazhinskiy,56.12,88.52,70.05,54,100,5.32,RU,1596259491
Wakkanai,45.41,141.67,71.6,78,75,14.99,JP,1596259491
Bandarbeyla,9.49,50.81,83.98,57,55,30.47,SO,1596259491
Palauig,15.44,119.9,84.24,75,100,15.41,PH,1596259492
Vilyuysk,63.76,121.62,79.05,28,0,5.19,RU,1596259492
Pochutla,15.74,-96.47,81.0,78,65,3.76,MX,1596259492
Edd,13.93,41.69,86.23,64,88,9.01,ER,1596259492
Keti Bandar,24.14,67.45,88.95,66,86,8.77,PK,1596259492
Panyutyne,48.93,36.28,61.54,67,47,10.18,UA,1596259493
Cockburn Town,21.46,-71.14,82.54,81,100,23.51,TC,1596259493
Sibolga,1.74,98.78,85.05,64,95,5.12,ID,1596259445
Faya,18.39,42.45,71.6,88,98,4.7,SA,1596259494
Kwang Binh,17.48,106.6,79.2,88,100,14.23,VN,1596259391
Curillo,1.03,-75.92,69.28,95,91,0.92,CO,1596259494
Wanaka,-44.7,169.15,49.06,78,100,5.68,NZ,1596259494
Melfi,41.0,15.65,78.01,57,20,8.05,IT,1596259495
Prado,-17.34,-39.22,70.48,83,74,12.39,BR,1596259495
Pacific Grove,36.62,-121.92,59.0,93,0,8.3,US,1596259291
Carbondale,37.73,-89.22,71.6,94,90,4.7,US,1596259383
Penzance,50.12,-5.54,62.01,100,9,11.41,GB,1596259496
Jacqueville,5.21,-4.41,77.0,94,40,8.05,CI,1596259496
Makakilo City,21.35,-158.09,80.6,57,1,6.93,US,1596259315
Mount Isa,-20.73,139.5,78.8,16,0,10.29,AU,1596259348
Patea,-39.76,174.48,53.01,86,100,3.15,NZ,1596259497
Termez,37.22,67.28,84.2,26,40,11.41,UZ,1596259438
Mana,5.66,-53.78,75.85,86,75,2.73,GF,1596259497
Kyaikkami,16.08,97.57,84.94,72,73,7.96,MM,1596259498
Nanzhou,29.36,112.4,91.99,66,32,9.22,CN,1596259498
Moose Factory,51.26,-80.61,62.6,82,1,5.82,CA,1596259498
Marrakesh,31.63,-8.01,78.8,54,40,6.93,MA,1596259246
Forsytheganj,52.63,29.73,57.02,91,39,8.25,BY,1596259499
Doctor Arroyo,23.67,-100.18,67.44,75,80,2.75,MX,1596259499
Nago,26.59,127.98,91.4,63,40,14.99,JP,1596259499
Arlit,18.74,7.39,91.45,41,24,11.27,NE,1596259499
Tolaga Bay,-38.37,178.3,55.49,81,87,10.76,NZ,1596259500
Yaan,7.38,8.57,69.89,95,70,4.92,NG,1596259500
Necochea,-38.55,-58.74,45.41,72,22,6.62,AR,1596259500
Matagami,49.75,-77.63,62.6,88,90,2.64,CA,1596259273
Dwārka,22.24,68.97,86.94,75,71,7.81,IN,1596259501
Zhigansk,66.77,123.37,70.23,41,0,12.39,RU,1596259501
Viedma,-40.81,-63.0,48.0,66,61,3.0,AR,1596259501
Husavik,66.04,-17.34,55.4,76,90,1.12,IS,1596259502
Burnie,-41.07,145.92,55.99,76,47,8.99,AU,1596259502
Ixtapa,20.7,-105.2,80.01,88,90,6.93,MX,1596259502
Hrubieszów,50.8,23.89,56.41,92,21,9.98,PL,1596259502
High Level,58.52,-117.14,71.6,68,5,6.93,CA,1596259503
Laguna,38.42,-121.42,73.0,49,1,5.82,US,1596259503
Manggar,-2.88,108.27,83.71,68,25,13.04,ID,1596259503
Bharatpur,27.22,77.48,97.56,44,41,4.09,IN,1596259504
Bonavista,48.65,-53.11,55.99,76,94,1.01,CA,1596259504
Kloulklubed,7.04,134.26,80.6,88,90,8.05,PW,1596259504
Hobyo,5.35,48.53,79.92,66,31,26.6,SO,1596259505
Asău,46.43,26.4,69.01,88,14,5.82,RO,1596259505
Kasongo-Lunda,-6.47,16.82,62.55,54,37,0.54,CD,1596259505
Anzio,41.49,12.62,75.2,88,75,3.36,IT,1596259505
Wahpeton,46.27,-96.61,66.99,93,40,2.55,US,1596259505
Zyryanka,65.75,150.85,64.24,49,37,14.25,RU,1596259506
Dayāl Bāgh,27.22,78.02,97.38,44,74,3.15,IN,1596259506
Maryville,35.76,-83.97,73.0,94,90,3.36,US,1596259321
Muisne,0.6,-80.03,73.89,91,100,10.13,EC,1596259506
Ouadda,8.08,22.4,68.2,93,79,2.15,CF,1596259506
Inhambane,-23.86,35.38,55.4,93,20,2.24,MZ,1596259507
Vanimo,-2.67,141.3,84.45,69,41,3.47,PG,1596259507
Nuevitas,21.55,-77.26,77.0,100,100,1.12,CU,1596259507
Northam,51.03,-4.22,61.0,96,11,5.01,GB,1596259507
‘Āhuimanu,21.44,-157.84,80.6,61,20,10.29,US,1596259508
Marsh Harbour,26.54,-77.06,80.35,71,100,35.81,BS,1596259508
Paamiut,61.99,-49.67,44.89,92,100,5.68,GL,1596259508
Kuching,1.55,110.33,89.6,62,40,9.17,MY,1596259508
Kimbe,-5.55,150.14,85.28,59,100,10.71,PG,1596259508
Taksimo,56.34,114.88,65.79,82,99,2.57,RU,1596259509
Preobrazheniye,42.9,133.91,74.19,77,90,6.49,RU,1596259509
Ous,60.91,61.52,65.73,69,56,7.09,RU,1596259509
Kastraki,39.72,21.62,69.01,62,5,4.74,GR,1596259509
Umba,66.69,34.34,54.19,78,100,6.98,RU,1596259510
Auki,-8.77,160.7,82.99,78,90,5.01,SB,1596259510
Fort Nelson,58.81,-122.7,80.6,44,20,5.82,CA,1596259212
Alta Floresta,-9.88,-56.09,68.0,42,0,4.47,BR,1596259432
Farah,32.5,62.5,85.21,18,0,9.86,AF,1596259511
Buchanan,5.88,-10.05,75.2,94,75,9.08,LR,1596259511
Sawākin,19.11,37.33,89.4,57,69,14.61,SD,1596259511
Najrān,17.49,44.13,82.4,54,20,13.87,SA,1596259511
Boyolangu,-8.12,111.89,81.01,63,36,10.8,ID,1596259512
Show Low,34.25,-110.03,75.2,23,1,9.17,US,1596259512
Rafsanjān,30.41,55.99,82.33,23,1,3.65,IR,1596259512
Port Blair,11.67,92.75,81.34,84,100,19.84,IN,1596259253
Mandalgovi,45.76,106.27,67.24,46,88,18.01,MN,1596259513
Āgaro,7.85,36.65,61.39,89,100,0.51,ET,1596259513
Havre-St-Pierre,50.23,-63.6,59.0,93,90,5.82,CA,1596259513
Hoi An,15.88,108.33,87.8,66,75,1.12,VN,1596259513
Khani,41.96,42.96,77.0,69,40,2.24,GE,1596259514
Khāsh,28.22,61.22,88.09,19,0,6.31,IR,1596259514
Priyutnoye,46.1,43.51,77.0,47,0,7.0,RU,1596259514
San Mateo del Mar,16.2,-95.0,84.51,71,8,19.84,MX,1596259514
Mabaruma,8.2,-59.78,73.13,99,25,2.53,GY,1596259515
Evensk,61.95,159.23,65.41,46,50,16.31,RU,1596259515
Cartagena,10.4,-75.51,80.62,87,53,8.84,CO,1596259515
Tilichiki,60.47,166.1,57.54,78,86,0.89,RU,1596259515
Bahía Honda,22.9,-83.16,79.92,83,0,10.2,CU,1596259516
Nouadhibou,20.93,-17.03,77.0,78,73,12.75,MR,1596259516
Moyale,3.52,39.06,64.0,80,96,13.38,KE,1596259516
Rāwah,34.48,41.91,86.29,36,0,16.71,IQ,1596259517
Yei,4.09,30.68,67.71,91,42,1.59,SS,1596259517
Zyryanovsk,49.74,84.27,71.44,49,0,3.49,KZ,1596259517
Manicoré,-5.81,-61.3,71.6,94,0,2.04,BR,1596259517
Vila Velha,-20.33,-40.29,64.4,100,75,3.36,BR,1596259337
Takoradze,4.88,-1.76,74.44,85,67,8.61,GH,1596259464
Nha Trang,12.25,109.18,89.6,70,40,16.11,VN,1596259518
Bentong,3.52,101.91,89.6,62,20,8.05,MY,1596259518
Lerwick,60.15,-1.15,55.4,100,100,10.29,GB,1596259518
Huarmey,-10.07,-78.15,60.13,87,36,4.09,PE,1596259519
Mulchén,-37.72,-72.23,46.99,80,100,3.96,CL,1596259519
Perth,-31.93,115.83,64.99,55,75,3.36,AU,1596259509
Olafsvik,64.89,-23.71,50.45,87,93,13.69,IS,1596259519
Russell,32.35,-85.2,82.4,88,75,3.36,US,1596259519
Waingapu,-9.66,120.26,82.69,50,2,14.74,ID,1596259520
Llanes,43.42,-4.75,71.01,73,68,4.76,ES,1596259520
Zambezi,-13.54,23.1,55.38,54,2,7.87,ZM,1596259520
Lake Shasta,40.68,-122.37,79.0,22,28,3.42,US,1596259520
Shache,38.42,77.24,89.06,13,100,7.27,CN,1596259521
Margate,51.38,1.39,66.0,89,98,1.01,GB,1596259521
Bosaso,11.28,49.18,91.4,55,20,26.4,SO,1596259521
Toamasina,-18.17,49.38,68.0,1,75,10.29,MG,1596259521
Altamont,42.21,-121.74,70.0,45,1,8.05,US,1596259522
Basco,20.45,121.97,84.6,79,100,10.96,PH,1596259522
Konya Province,38.17,32.5,77.0,41,0,11.41,TR,1596259522
Kondinskoye,59.65,67.41,71.47,71,86,7.78,RU,1596259522
Olinda,-8.01,-34.86,77.0,83,75,8.05,BR,1596259523
Katherine,-14.47,132.27,86.0,19,8,12.75,AU,1596259524
Lima,-12.04,-77.03,59.0,82,90,6.93,PE,1596259524
Tessalit,20.2,1.01,91.69,16,0,11.7,ML,1596259524
Deniliquin,-35.53,144.97,59.0,58,22,1.01,AU,1596259524
San Quintín,30.48,-115.95,71.02,70,0,4.63,MX,1596259525
Mount Gambier,-37.83,140.77,66.2,42,0,14.99,AU,1596259525
San Andrés,12.58,-81.7,82.4,83,40,2.24,CO,1596259525
Eyemouth,55.87,-2.09,59.0,87,58,14.34,GB,1596259525
Mezhdurechensk,53.69,88.06,70.93,50,87,1.5,RU,1596259526
Essex,40.78,-74.22,75.99,83,20,4.7,US,1596259526
Tataouine,32.93,10.45,73.4,60,0,1.12,TN,1596259526
Monrovia,6.3,-10.8,75.2,94,75,11.27,LR,1596259526
Garoowe,8.41,48.48,79.54,55,84,29.24,SO,1596259527
Port Hardy,50.7,-127.42,68.0,60,75,11.41,CA,1596259527
Buala,-8.14,159.59,84.65,66,97,3.96,SB,1596259527
Nador,35.17,-2.93,77.0,94,48,1.12,MA,1596259527
Jönköping,57.78,14.16,48.2,100,1,1.12,SE,1596259527
Panguipulli,-39.63,-72.33,50.0,76,100,6.93,CL,1596259528
Chippewa Falls,44.94,-91.39,64.99,88,1,1.57,US,1596259273
Buin,-33.73,-70.75,55.0,87,100,0.74,CL,1596259528
Aksu,41.12,80.26,90.12,12,58,6.15,CN,1596259528
North Vernon,39.01,-85.62,69.01,93,100,7.29,US,1596259528
Harper,4.38,-7.72,74.91,86,100,10.31,LR,1596259529
Lac du Bonnet,50.25,-96.06,63.0,99,29,5.01,CA,1596259529
St. George's,12.06,-61.75,80.6,83,20,5.82,GD,1596259529
Genhe,50.78,121.52,78.48,52,93,5.99,CN,1596259529
Banda Aceh,5.56,95.32,86.67,61,100,15.79,ID,1596259272
Parabel',58.7,81.48,66.76,60,44,8.93,RU,1596259530
Ormara,25.21,64.64,84.99,79,82,9.4,PK,1596259530
Cabadiangan,9.75,122.47,84.04,69,100,4.94,PH,1596259530
Chilliwack,49.17,-121.94,66.2,68,75,5.82,CA,1596259531
Fuerte Olimpo,-21.04,-57.87,68.97,56,22,3.76,PY,1596259444
Kadoma,34.73,135.58,91.4,52,75,3.36,JP,1596259531
Morón,-34.65,-58.62,52.0,93,49,2.24,AR,1596259454
Sur,22.57,59.53,90.61,58,79,7.14,OM,1596259531
Mangawān,24.68,81.55,93.09,50,49,6.46,IN,1596259532
Elko,41.0,-115.5,80.01,18,1,7.25,US,1596259532
San Felipe,10.34,-68.74,72.79,82,70,4.52,VE,1596259532
São José da Coroa Grande,-8.9,-35.15,74.21,85,33,10.45,BR,1596259532
Rio Rancho,35.23,-106.66,70.0,56,89,3.0,US,1596259532
